Date,Former LYX Price
2024-01-01,7.9028439974
2024-01-02,8.3987093252
2024-01-03,9.8272853635
2024-01-04,10.185012780
2024-01-05,9.8749592243
2024-01-06,9.7872161207
2024-01-07,10.176054593
2024-01-08,10.259989799
2024-01-09,10.234363738
2024-01-10,10.172354828
2024-01-11,9.6992162168
2024-01-12,9.7560195728
2024-01-13,10.540540583
2024-01-14,11.093041036
2024-01-15,11.195878126
2024-01-16,11.307489942
2024-01-17,11.290979809
2024-01-18,11.133517466
2024-01-19,10.938612111
2024-01-20,10.417426648
2024-01-21,9.5727447668
2024-01-22,9.2133029545
2024-01-23,9.2066594286
2024-01-24,9.0244114726
2024-01-25,9.3917415750
2024-01-26,9.6889503138
2024-01-27,9.4297417042
2024-01-28,9.2869926827
2024-01-29,9.1215966127
2024-01-30,8.9235883264
2024-01-31,8.9204653662
2024-02-01,8.8699879067
2024-02-02,8.7348902846
2024-02-03,8.5673321363
2024-02-04,8.3373015616
2024-02-05,8.2435305726
2024-02-06,8.2004773834
2024-02-07,7.9595848213
2024-02-08,8.0201634400
2024-02-09,8.0740255197
2024-02-10,7.7821677780
2024-02-11,7.7704274085
2024-02-12,7.6013284075
2024-02-13,7.4777049010
2024-02-14,7.9087444057
2024-02-15,8.0377876442
2024-02-16,7.7774413909
2024-02-17,7.4698066457
2024-02-18,7.0576872386
2024-02-19,6.8839844298
2024-02-20,6.9565913877
2024-02-21,6.9104818571
2024-02-22,6.8001509544
2024-02-23,6.9591123732
2024-02-24,7.0913380052
2024-02-25,7.0106435501
2024-02-26,6.8358640636
2024-02-27,6.5179115590
2024-02-28,6.3217570991
2024-02-29,6.2682037458
2024-03-01,6.3283770731
2024-03-02,6.3584435545
2024-03-03,6.8023327106
2024-03-04,6.9365335115
2024-03-05,6.5472262203
2024-03-06,6.6113290985
2024-03-07,6.9200206618
2024-03-08,7.2873216031
2024-03-09,7.2417223562
2024-03-10,6.7610258223
2024-03-11,6.5428925423
2024-03-12,6.4123542243
2024-03-13,6.2391131953
2024-03-14,6.0242552404
2024-03-15,5.7609491080
2024-03-16,5.7768767990
2024-03-17,5.5697787127
2024-03-18,5.1658665603
2024-03-19,5.2021527844
2024-03-20,5.1097676874
2024-03-21,4.8440150774
2024-03-22,4.7402546492
2024-03-23,4.7966471441
2024-03-24,4.8502180773
2024-03-25,4.6167210750
2024-03-26,4.5091442079
2024-03-27,4.7219205616
2024-03-28,4.8773088636
2024-03-29,4.8469508984
2024-03-30,4.6942960375
2024-03-31,4.4329603181
2024-04-01,4.1700261562
2024-04-02,4.0478423424
2024-04-03,3.8892210451
2024-04-04,4.0439891698
2024-04-05,4.6961535329
2024-04-06,4.9018645959
2024-04-07,4.6428458333
2024-04-08,4.3839880451
2024-04-09,4.3409082402
2024-04-10,4.4081822222
2024-04-11,4.1837642031
2024-04-12,3.9497230725
2024-04-13,3.8743738328
2024-04-14,3.7327653457
2024-04-15,3.7250616805
2024-04-16,3.7709532887
2024-04-17,3.7893064092
2024-04-18,3.8883438180
2024-04-19,3.9771030888
2024-04-20,4.1244178344
2024-04-21,4.1427782010
2024-04-22,4.0656843715
2024-04-23,3.9600199391
2024-04-24,3.8812537555
2024-04-25,3.8000649222
2024-04-26,3.7028982817
2024-04-27,3.6839238185
2024-04-28,3.8091182460
2024-04-29,3.8014560833
2024-04-30,3.7089631748
2024-05-01,3.7434004548
2024-05-02,3.7888139003
2024-05-03,3.7543042628
2024-05-04,3.6289719059
2024-05-05,3.4807723196
2024-05-06,3.3533098227
2024-05-07,3.2353045294
2024-05-08,3.1592120476
2024-05-09,3.0898695295
2024-05-10,3.0897475055
2024-05-11,3.0817071708
2024-05-12,2.8728231030
2024-05-13,2.7105038421
2024-05-14,2.8023349403
2024-05-15,2.7812503710
2024-05-16,2.6850749276
2024-05-17,2.7825456189
2024-05-18,2.7247609241
2024-05-19,2.8670544380
2024-05-20,3.3292172206
2024-05-21,3.7270593949
2024-05-22,3.9646513554
2024-05-23,3.9486985173
2024-05-24,3.7012303995
2024-05-25,3.5513530785
2024-05-26,3.5690671014
2024-05-27,3.5354377945
2024-05-28,3.3541852840
2024-05-29,3.2460928436
2024-05-30,3.1871600143
2024-05-31,3.0678819001
2024-06-01,2.9784392936
2024-06-02,3.0077627964
2024-06-03,3.1983447644
2024-06-04,3.1503292386
2024-06-05,2.9545220862
2024-06-06,2.8136702131
2024-06-07,2.7176209096
2024-06-08,2.7363900749
2024-06-09,2.6688973753
2024-06-10,2.4652686299
2024-06-11,2.3643549744
2024-06-12,2.3033717068
2024-06-13,2.1863012017
2024-06-14,2.2256271463
2024-06-15,2.2762926213
2024-06-16,2.2179180784
2024-06-17,2.1308879231
2024-06-18,2.0824385601
2024-06-19,2.0730808551
2024-06-20,2.1048094537
2024-06-21,2.2965521360
2024-06-22,2.4711085866
2024-06-23,2.4434634208
2024-06-24,2.4422958579
2024-06-25,2.5904445011
2024-06-26,2.7239489667
2024-06-27,2.7054892380
2024-06-28,2.5827730811
2024-06-29,2.5491113537
2024-06-30,2.6388814611
2024-07-01,2.6930382335
2024-07-02,2.6303063742
2024-07-03,2.4811972412
2024-07-04,2.2510480452
2024-07-05,2.1726931579
2024-07-06,2.1868060076
2024-07-07,2.0744608996
2024-07-08,2.0371909387
2024-07-09,2.0659493178
2024-07-10,2.1044447158
2024-07-11,2.1304702043
2024-07-12,2.1235283632
2024-07-13,2.0954617049
2024-07-14,2.0890612055
2024-07-15,2.0378023739
2024-07-16,1.9122782817
2024-07-17,1.8353437640
2024-07-18,1.8633091311
2024-07-19,1.8954126602
