Date,Received LYX,Former LYX Price,Income in EUR
2023-06-30,0.907657566,8.0802851757,7.33
2023-07-01,0.022202221,8.0199282956,0.18
2023-07-02,0.019734528,8.0638056487,0.16
2023-07-03,0.039015665,8.13031011,0.32
2023-07-04,0.017959856,7.7769437414,0.14
2023-07-09,0.9229242405,7.9933738354,7.38
2023-07-10,1.790481328,7.633113425,13.67
2023-07-11,1.8263641715,7.3564231827,13.44
2023-07-12,2.2155810215,7.6866859044,17.03
2023-07-13,2.8049868625,7.6665859888,21.5
2023-07-14,2.913744193,7.2578306089,21.15
2023-07-15,2.857207316,7.1089228106,20.31
2023-07-16,2.951242146,7.1037891169,20.97
2023-07-17,2.461045464,7.1263485761,17.54
2023-07-18,2.6137919075,7.1952383732,18.81
2023-07-19,2.3397324665,7.399934659,17.31
2023-07-20,2.790767925,7.4203403067,20.71
2023-07-21,2.184742114,7.2106666955,15.75
2023-07-22,2.4695851995,6.9261290337,17.1
2023-07-23,2.531576218,6.5247225017,16.52
2023-07-24,1.975951437,6.2702514794,12.39
2023-07-25,2.06581867,6.2187183625,12.85
2023-07-26,2.756396998,6.0388443139,16.65
2023-07-27,2.1623892,6.2658930157,13.55
2023-07-28,2.104541709,6.4231995955,13.52
2023-07-29,1.89221819,6.1902908461,11.71
2023-07-30,2.370479307,6.0497893943,14.34
2023-07-31,2.226091862,5.85737228,13.04
2023-08-01,1.71714374,5.6725656837,9.74
2023-08-02,1.96549875,5.672283755,11.15
2023-08-03,2.142521354,5.57147811,11.94
2023-08-04,1.7722741505,5.5153534954,9.77
2023-08-05,1.893039115,5.530174273,10.47
2023-08-06,2.019182297,5.4371121738,10.98
2023-08-07,1.96824037,5.6785580713,11.18
2023-08-08,1.873121987,5.9827301741,11.21
2023-08-09,1.902241005,6.1270545549,11.66
2023-08-10,2.079448786,6.4599840784,13.43
2023-08-11,1.917153834,6.746432233,12.93
2023-08-12,1.82560247,6.6862616615,12.21
2023-08-13,1.940458072,6.685569248,12.97
2023-08-14,1.934579476,6.6924388113,12.95
2023-08-15,2.176316875,6.3430053367,13.8
2023-08-16,1.699620377,5.9541610844,10.12
2023-08-17,1.685261585,5.7038137812,9.61
2023-08-18,1.985021237,5.8913436368,11.69
2023-08-19,1.4405373425,6.1398622725,8.84
2023-08-20,1.968335723,6.1164535277,12.04
2023-08-21,1.440452526,6.2171691863,8.96
2023-08-22,2.157804489,6.4047458806,13.82
2023-08-23,1.312528994,6.4343767899,8.45
2023-08-24,2.023994538,6.2901042725,12.73
2023-08-25,1.387322503,6.1753120754,8.57
2023-08-26,2.101635996,6.202229143,13.03
2023-08-27,1.846896637,6.2551413606,11.55
2023-08-28,1.797331172,6.2872106753,11.3
2023-08-29,1.443974585,6.1420819448,8.87
2023-08-30,2.056170664,6.0489469368,12.44
2023-08-31,1.873921158,6.1265416524,11.48
2023-09-01,1.557274678,6.0665257951,9.45
